Theta,Mearsured R,Diffuse model (cos),Estimated Specular
-90,"0,000109650381967816","3,67544536472586E-19","0,000109650381967816"
-89,"7,80359339588381E-05","0,000104714438623702","-2,66785046648635E-05"
-88,"0,00046147973932899","0,000209396980215006","0,000252082759113984"
-87,"0,000542831615277495","0,000314015737457664","0,000228815877819831"
-86,"0,000674325425060633","0,000418538842464751","0,000255786582595882"
-85,"0,000889656851070689","0,00052293445648595","0,000366722394584739"
-84,"0,000929388121579169","0,000627170779605921","0,000302217341973248"
-83,"0,00110456365460851","0,000731216060430885","0,000373347594177623"
-82,"0,0012377941606241","0,000835038605760393","0,000402755554863703"
-81,"0,00140914338211005","0,000938606790241386","0,000470536591868664"
-80,"0,00164179595909037","0,00104188906600158","0,000599906893088787"
-79,"0,00183386681616281","0,00114485397225927","0,000689012843903544"
-78,"0,00190112353533068","0,00124747014490656","0,000653653390424121"
-77,"0,00214021912600163","0,00134970632606319","0,000790512799938438"
-76,"0,00224479547894798","0,00145153137359801","0,000793264105349974"
-75,"0,0024492035489775","0,00155291427061512","0,000896289278362376"
-74,"0,00252300348426048","0,001653824134902","0,000869179349358482"
-73,"0,00259890142288161","0,00175423022833642","0,000844671194545184"
-72,"0,0027815097974073","0,00185410196624968","0,00092740783115762"
-71,"0,00288658616046242","0,00195340892674294","0,000933177233719483"
-70,"0,00299738942986961","0,00205212085995401","0,000945268569915597"
-69,"0,00303257332357012","0,0021502076972718","0,000882365626298323"
-68,"0,00326169065968182","0,00224763956049547","0,00101405109918635"
-67,"0,00342098326849986","0,00234438677093564","0,00107659649756422"
-66,"0,00358454511742219","0,0024404198584548","0,00114412525896739"
-65,"0,00367039546387078","0,0025357095704442","0,00113468589342658"
-64,"0,0037735196778762","0,00263022688073447","0,00114329279714173"
-63,"0,00393204868672542","0,00272394299843728","0,00120810568828814"
-62,"0,00405227849044579","0,00281682937671535","0,00123544911373045"
-61,"0,00405794023162117","0,00290885772147802","0,00114908251014315"
-60,"0,0041339376930509","0,003","0,0011339376930509"
-59,"0,00435467563940254","0,00309022844946033","0,00126444718994221"
-58,"0,00443011630953816","0,00317951558539923","0,00125060072413893"
-57,"0,00453212961959053","0,00326783421009016","0,00126429540950037"
-56,"0,00477250735732627","0,00335515742082448","0,00141734993650179"
-55,"0,0047124413465673","0,00344145861810628","0,00127098272846102"
-54,"0,00482185534306411","0,00352671151375484","0,00129514382930927"
-53,"0,00488646586363594","0,00361089013891229","0,00127557572472365"
-52,"0,004999759943639","0,00369396885195395","0,00130579109168505"
-51,"0,00507401130954534","0,00377592234629903","0,00129808896324631"
-50,"0,00520132762274344","0,00385672565811924","0,0013446019646242"
-49,"0,00523366002288723","0,00393635417394304","0,00129730584894419"
-48,"0,00531258557768335","0,00401478363815315","0,0012978019395302"
-47,"0,00552233260687091","0,00409199016037499","0,00143034244649591"
-46,"0,00543014002796384","0,00416795022275399","0,00126218980520985"
