Theta,Mearsured R,Diffuse model (cos),Estimated Specular,,
-90,"0,000260643912091487","3,67544536472586E-19","0,000260643912091487",,
-89,"0,000155583813916397","0,000104714438623702","5,08693752926949E-05",,
-88,"0,00036283369230777","0,000209396980215006","0,000153436712092763",,
-87,"0,00033779584491965","0,000314015737457664","2,37801074619863E-05",,
-86,"0,00059373088595243","0,000418538842464751","0,000175192043487679",,
-85,"0,000763767015290702","0,00052293445648595","0,000240832558804751",,
-84,"0,000886891086422546","0,000627170779605921","0,000259720306816625",,
-83,"0,00105570405237338","0,000731216060430885","0,000324487991942493",,
-82,"0,00115329683994576","0,000835038605760393","0,000318258234185368",,
-81,"0,00140457739266829","0,000938606790241386","0,000465970602426908",,
-80,"0,00165924781701811","0,00104188906600158","0,000617358751016523",,
-79,"0,00171306733111839","0,00114485397225927","0,000568213358859117",,
-78,"0,00186958432106194","0,00124747014490656","0,000622114176155385",,
-77,"0,00200501657118326","0,00134970632606319","0,000655310245120073",,
-76,"0,00214759328641568","0,00145153137359801","0,00069606191281767",,
-75,"0,00226304370648847","0,00155291427061512","0,000710129435873348",,
-74,"0,0024687958326251","0,001653824134902","0,000814971697723102",,
-73,"0,00269078261763127","0,00175423022833642","0,000936552389294852",,
-72,"0,00278095092271104","0,00185410196624968","0,000926848956461353",,
-71,"0,00297866579122592","0,00195340892674294","0,00102525686448298",,
-70,"0,00301831397801867","0,00205212085995401","0,000966193118064657",,
-69,"0,00316672634030248","0,0021502076972718","0,00101651864303067",,
-68,"0,00330962551739582","0,00224763956049547","0,00106198595690035",,
-67,"0,00355047145574096","0,00234438677093564","0,00120608468480532",,
-66,"0,00358508601843661","0,0024404198584548","0,0011446661599818",,
-65,"0,0038034571631195","0,0025357095704442","0,00126774759267531",,
-64,"0,00390290866682155","0,00263022688073447","0,00127268178608709",,
-63,"0,0039876904085016","0,00272394299843728","0,00126374741006432",,
-62,"0,0041264813148146","0,00281682937671535","0,00130965193809925",,
-61,"0,0043626825492806","0,00290885772147802","0,00145382482780257",,
-60,"0,00444402206712265","0,003","0,00144402206712265",,
-59,"0,00448620968920095","0,00309022844946033","0,00139598123974063",,
-58,"0,00470796368884771","0,00317951558539923","0,00152844810344848",,
-57,"0,00486534726867407","0,00326783421009016","0,00159751305858391",,
-56,"0,00495943861451297","0,00335515742082448","0,00160428119368849",,
-55,"0,00512941751094054","0,00344145861810628","0,00168795889283426",,
-54,"0,00513765644768597","0,00352671151375484","0,00161094493393113",,
-53,"0,00538722340878669","0,00361089013891229","0,0017763332698744",,
-52,"0,00541553073815501","0,00369396885195395","0,00172156188620106",,
-51,"0,00556479674330167","0,00377592234629903","0,00178887439700264",,
-50,"0,00567515409083577","0,00385672565811924","0,00181842843271654",,
-49,"0,00581801385334989","0,00393635417394304","0,00188165967940684",,
-48,"0,0058296560945382","0,00401478363815315","0,00181487245638505",,
-47,"0,00597696640345455","0,00409199016037499","0,00188497624307956",,
-46,"0,00598334103680437","0,00416795022275399","0,00181539081405038",,
-45,"0,00626651057658439","0,00424264068711929","0,0020238698894651",,
-44,"0,00610624571637148","0,00431603880203191","0,00179020691433958",,
-43,"0,00641613446213683","0,00438812220971502","0,00202801225242181",,
-42,"0,00639733967733588","0,00445886895286437","0,00193847072447152",,
-41,"0,00635479093875693","0,00452825748133663","0,00182653345742029",,
-40,"0,00654988387474506","0,00459626665871387","0,00195361721603119",,
-39,"0,00650683552067309","0,00466287576874183","0,00184395975193126",,
-38,"0,00655655069313442","0,00472806452164033","0,00182848617149409",,
-37,"0,00656108544430932","0,00479181306028376","0,00176927238402556",,
-36,"0,00661869321508418","0,00485410196624969","0,00176459124883449",,
-35,"0,006691623117555","0,00491491226573395","0,00177671085182105",,
-34,"0,00657845098067506","0,00497422543533025","0,00160422554534481",,
-33,"0,00666225377578672","0,00503202340767254","0,00163023036811418",,
-32,"0,00672379892812057","0,00508828857693856","0,00163551035118201",,
-31,"0,00572044143195325","0,00514300380421267","0,000577437627740575",,
-30,"0,00664673832160261","0,00519615242270663","0,00145058589889598",,
-29,"0,00673732343933888","0,00524771824283637","0,0014896051965025",,
-28,"0,00687385772487217","0,00529768555715356","0,00157617216771861",,
-27,"0,00575704581535773","0,00534603914513021","0,000411006670227523",,
-26,"0,00694088850747412","0,005392764277795","0,00154812422967912",,
-25,"0,00687720691523699","0,0054378467222199","0,00143936019301709",,
-24,"0,00687576560259318","0,00548127274585561","0,00139449285673758",,
-23,"0,00683247504779806","0,00552302912071464","0,00130944592708341",,
-22,"0,0067399527614281","0,00556310312740072","0,00117684963402738",,
-21,"0,0068902296263782","0,00560148255898321","0,00128874706739499",,
-20,"0,00691232232631031","0,00563815572471545","0,00127416660159486",,
-19,"0,00688580898114044","0,0056731114535959","0,00121269752754453",,
-18,"0,00690157971538668","0,00570633909777092","0,00119524061761576",,
-17,"0,00688170538224834","0,00573782853577821","0,00114387684647012",,
-16,"0,00692467049504135","0,00576757017562991","0,00115710031941143",,
-15,"0,00699466626932004","0,00579555495773441","0,00119911131158563",,
-14,"0,00686721958597013","0,00582177435765598","0,00104544522831415",,
-13,"0,00694825525826908","0,00584622038871141","0,00110203486955767",,
-12,"0,00573355562008327","0,00586888560440283","-0,000135329984319566",,
-11,"0,00693137875774262","0,00588976310068598","0,00104161565705664",,
-10,"0,00690435448042958","0,00590884651807325","0,000995507962356335",,
-9,"0,00694819535501388","0,00592613004357083","0,00102206531144305",,
-8,"0,00680853983574049","0,00594160841244942","0,000866931423291072",,
-7,"0,0068443771635404","0,00595527690984793","0,000889100253692464",,
-6,"0,00672979842560827","0,00596713137220964","0,000762667053398628",,
-5,"0,00675450221929109","0,00597716818855047","0,000777334030740612",,
-4,"0,00680160511094461","0,00598538430155895","0,000816220809385667",,
-3,"0,00676611508389676","0,00599177720852744","0,000774337875369313",,
-2,"0,00681736635108118","0,00599634496211457","0,000821021388966604",,
-1,"0,00679798451461393","0,00599908617093835","0,000798898343675584",,
0,"0,00669707272653725","0,006","0,000697072726537247",,
1,"0,00667636700102069","0,00599908617093835","0,000677280830082345",,
2,"0,0066445055270481","0,00599634496211457","0,000648160564933524",,
3,"0,00651975094602777","0,00599177720852744","0,000527973737500326",,
4,"0,00655409720688546","0,00598538430155895","0,000568712905326518",,
5,"0,00661888671301971","0,00597716818855047","0,000641718524469241",,
6,"0,00658418860444731","0,00596713137220964","0,00061705723223767",,
7,"0,00662416328158435","0,00595527690984793","0,000668886371736416",,
8,"0,00646897323658465","0,00594160841244942","0,000527364824135228",,
9,"0,00649817915820282","0,00592613004357083","0,000572049114631989",,
10,"0,0065505936891223","0,00590884651807325","0,000641747171049056",,
11,"0,00639459782481536","0,00588976310068598","0,000504834724129376",,
